amfi_code,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe_Ratio,Alpha,Maximum_Drawdown,scheme_name,expense_ratio_pct,Return_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,Fund_Score
125497,0.286975804558778,0.1842991800861004,0.1901779534471146,0.7757902498211205,0.1772975492753176,-0.1520001305560639,HDFC Top 100 Fund - Direct Plan - Growth,0.92,19.0,18.0,16.0,14.0,18.0,56.68354430379747
118635,0.2251024810376227,0.2000321571698329,0.1595723117967173,0.6648569985490621,0.1513635464823924,-0.1165062450540909,Nippon India ETF Nifty 50 BeES,0.89,17.0,19.0,23.0,13.0,10.0,56.438291139240505
118633,0.2555953994051738,0.2108469102938059,0.1627421735450427,0.6452074382933218,0.1564383594816966,-0.1862974313859551,Nippon India Large Cap Fund - Direct - Growth,0.72,15.0,21.0,22.0,5.5,26.0,56.036392405063296
102885,0.2022285859538466,0.1966236124591096,0.1823237888770594,0.817099337349437,0.1704875680341269,-0.1085986215250232,UTI Nifty 50 Index Fund - Regular - Growth,1.57,18.0,16.0,19.0,34.0,7.0,52.33860759493671
120503,0.0849513597225455,0.1397498034821267,0.187853255982622,0.7979728586052844,0.1770330236584407,-0.1389786282306163,ICICI Pru Bluechip Fund - Regular - Growth,1.42,25.0,17.0,17.0,20.0,14.0,51.03006329113924
148568,0.1427983450087073,0.1474443483276053,0.2251686900711385,0.926287346736014,0.2087301008694233,-0.1527259422823477,Mirae Asset Emerging Bluechip Fund - Regular - Growth,1.52,24.0,15.0,14.0,26.5,19.0,50.811708860759495
120506,0.4185299002066023,0.1841742926683522,0.1708486725575018,0.6488787755249528,0.1625385327998104,-0.1982565826298267,ICICI Pru Value Discovery Fund - Regular - Growth,1.41,20.0,20.0,20.0,19.0,27.0,48.53481012658228
120507,0.0743032085584731,0.073925387862634,0.0723753972838441,0.495723392953312,0.0674621041109953,-0.0009773140045925,ICICI Pru Liquid Fund - Regular - Growth,0.74,29.0,23.0,31.0,7.0,1.0,45.46677215189874
119093,0.1978153852410049,0.2081155982663189,0.0789755785437595,0.1296144979566932,0.0823280129522209,-0.2175139637014822,Axis Bluechip Fund - Direct - Growth,0.75,16.0,29.0,28.0,8.0,31.0,45.087025316455694
102887,0.1359304393755194,0.2554967017250202,0.1684112024730752,0.6195175900829826,0.1621125679403325,-0.2153982711238322,UTI Flexi Cap Fund - Regular - Growth,1.64,13.0,22.0,21.0,39.5,30.0,43.5
149322,0.1812461925339035,0.1803973982038829,0.1339327592400185,0.4640374492204773,0.1317319022609943,-0.1484457691777174,DSP Top 100 Equity Fund - Regular - Growth,1.54,21.0,25.0,24.0,30.5,16.0,41.04272151898734
125498,0.1545507701929038,0.112425187373742,0.1130181712327997,0.3006119210425479,0.1198910097121797,-0.2111727956013211,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.78,26.0,27.0,26.0,10.0,29.0,39.57753164556962
120844,0.0712536974110291,0.0669439423907485,0.0691527298506715,-0.0887472962155728,0.0645567749537599,-0.0011629327956168,Kotak Liquid Fund - Regular - Growth,0.6,30.0,34.0,32.0,3.0,2.0,38.610759493670884
120841,0.1684955152939842,0.1726301444443794,0.1353221114899239,0.4942725378672348,0.1304292445070544,-0.1757361416468729,Kotak Bluechip Fund - Regular - Growth,1.59,22.0,24.0,25.0,35.0,24.0,36.708860759493675
118634,0.158228664455887,0.080060298597036,0.1637347403341575,0.4484340089089915,0.1750072167561127,-0.2334488614483311,Nippon India Small Cap Fund - Regular - Growth,1.53,27.0,26.0,18.0,28.5,32.0,35.67721518987342
118636,0.1046246278808034,0.0406125985984033,0.0531688962517127,-0.3566295075143678,0.050747729999761,-0.083163617636387,Nippon India Gilt Securities Fund - Regular - Growth,0.55,33.0,38.0,35.0,1.0,6.0,32.120253164556964
119120,0.0552588032636078,0.0583898844209376,0.0588941871634671,-0.2265753866279156,0.0562089521663836,-0.0432872892397009,SBI Magnum Gilt Fund - Regular Plan - Growth,0.77,32.0,37.0,34.0,9.0,5.0,31.207278481012658
101208,0.0724177720039358,0.0631429929210527,0.0650902685546532,-0.8155673679088258,0.0608614579578711,-0.0016224980244717,ABSL Liquid Fund - Regular - Growth,0.79,31.0,40.0,33.0,11.0,3.0,30.322784810126585
100025,0.0370755270188964,0.039154793546847,0.0445820961917313,-0.5670947928476846,0.0428179203150608,-0.0430826382463634,HDFC Short Term Debt Fund - Regular - Growth,0.56,34.0,39.0,38.0,2.0,4.0,29.365506329113927
120842,0.2251898694246592,0.0775416750547262,0.0670154348203846,0.0759998480465892,0.0780443887615508,-0.2400351132627488,Kotak Emerging Equity Fund - Regular - Growth,1.56,28.0,30.0,29.0,33.0,33.0,24.968354430379748
119599,0.1395799435744773,-0.0133708360228389,0.0205448470180937,-0.0571866258281799,0.0488242159455398,-0.5257422117012851,SBI Small Cap Fund - Direct Plan - Growth,0.72,38.0,32.0,36.0,5.5,40.0,21.411392405063292
119092,0.0161022963455828,0.0052576685017868,0.0636798923760524,0.0307848509545859,0.0689952982167755,-0.1440161790933726,Axis Bluechip Fund - Regular - Growth,1.64,36.0,31.0,30.0,39.5,15.0,19.875
101207,-0.2400030918029263,-0.0415145381614069,0.0793876483724771,0.1626607692864678,0.1089709190170453,-0.3544691649336603,ABSL Small Cap Fund - Regular - Growth,1.53,39.0,28.0,27.0,28.5,38.0,19.42721518987342
119095,-0.4281949516662213,-0.1170329932983421,0.0152150453308239,-0.0759735711747892,0.0480159536377595,-0.5167775370852656,Axis Small Cap Fund - Regular - Growth,1.38,40.0,33.0,37.0,17.0,39.0,14.669303797468354
100016,-0.022257773892688,0.0129235258921545,0.026370743672111,-0.2015170675596693,0.0374758076344328,-0.247344408806733,HDFC Top 100 Fund - Regular Plan - Growth,1.55,35.0,35.0,39.0,32.0,34.0,11.723101265822784
102886,-0.1680795995867203,-0.0076723194402581,0.0117174549183411,-0.2058316078547031,0.0289693978663794,-0.2800112356639287,UTI Mid Cap Fund - Regular - Growth,1.51,37.0,36.0,40.0,24.5,35.0,11.696202531645568
